sector_code;sector_label;activity_code;activity_label;product_code;product_label
C;ACTIVITES DE FABRICATION ;C200101;Fabrication de produits azotés et d'engrais ;C20010104;Autres produits chimiques organiques de base  
C;ACTIVITES DE FABRICATION ;C200101;Fabrication de produits azotés et d'engrais ;C20010105;Matières plastiques de base  
C;ACTIVITES DE FABRICATION ;C200101;Fabrication de produits azotés et d'engrais ;C20010106;Caoutchouc synthétique  
C;ACTIVITES DE FABRICATION ;C200201;Fabrication de savons, détergents et produits d'entretien ;C20020101;Savons et produits de nettoyage  
C;ACTIVITES DE FABRICATION ;C200201;Fabrication de savons, détergents et produits d'entretien ;C20020102;"Glycérine ; agents tensioactifs  "
C;ACTIVITES DE FABRICATION ;C200201;Fabrication de savons, détergents et produits d'entretien ;C20020103;Produits d’entretien ménager  
C;ACTIVITES DE FABRICATION ;C200202;Fabrication de parfums et de produits de toilette ;C20020201;Parfums et eaux de toilette  
C;ACTIVITES DE FABRICATION ;C200202;Fabrication de parfums et de produits de toilette ;C20020202;Produits de beauté et de maquillage 
C;ACTIVITES DE FABRICATION ;C200202;Fabrication de parfums et de produits de toilette ;C20020203;Produits et préparations capillaires  
C;ACTIVITES DE FABRICATION ;C200202;Fabrication de parfums et de produits de toilette ;C20020204;Autres produits de toilette et d’hygiène  
C;ACTIVITES DE FABRICATION ;C200203;Fabrication de produits agrochimiques ;C20020301;Insecticides 
C;ACTIVITES DE FABRICATION ;C200203;Fabrication de produits agrochimiques ;C20020302;Herbicides  
C;ACTIVITES DE FABRICATION ;C200203;Fabrication de produits agrochimiques ;C20020303;Autres produits agrochimiques  
C;ACTIVITES DE FABRICATION ;C200204;Fabrication de peintures et vernis, adjuvants et encres d'imprimerie ;C20020400;Peintures, vernis, adjuvants et encres d'imprimerie 
C;ACTIVITES DE FABRICATION ;C200205;Fabrication de fibres artificielles ou  synthétiques ;C20020500;Fibres artificielles  ou synthétiques   
C;ACTIVITES DE FABRICATION ;C200206;Fabrication d'autres produits chimiques ;C20020601;Explosifs et allumettes 
C;ACTIVITES DE FABRICATION ;C200206;Fabrication d'autres produits chimiques ;C20020602;Colles   
C;ACTIVITES DE FABRICATION ;C200206;Fabrication d'autres produits chimiques ;C20020603;Huiles essentielles  
C;ACTIVITES DE FABRICATION ;C200206;Fabrication d'autres produits chimiques ;C20020604;Produits chimiques pour la photographie  
C;ACTIVITES DE FABRICATION ;C200206;Fabrication d'autres produits chimiques ;C20020605;Produits chimiques à usage spécifique 
C;ACTIVITES DE FABRICATION ;C210001;Industrie pharmaceutique ;C21000101;Produits pharmaceutiques de base  
C;ACTIVITES DE FABRICATION ;C210001;Industrie pharmaceutique ;C21000102;Médicaments
C;ACTIVITES DE FABRICATION ;C210001;Industrie pharmaceutique ;C21000103;Produits pharmaceutiques divers 
C;ACTIVITES DE FABRICATION ;C210002;Fabrication de médicaments traditionnels ;C21000200;Médicaments traditionnels   
C;ACTIVITES DE FABRICATION ;C220101;Fabrication et rechapage de pneumatiques  ;C22010101;Pneumatiques neufs pour voitures, cycles et motocycles  
C;ACTIVITES DE FABRICATION ;C220101;Fabrication et rechapage de pneumatiques  ;C22010102;Autres pneumatiques neufs 
C;ACTIVITES DE FABRICATION ;C220101;Fabrication et rechapage de pneumatiques  ;C22010103;Chambres à air et bandages  
C;ACTIVITES DE FABRICATION ;C220101;Fabrication et rechapage de pneumatiques  ;C22010104;Profilés pour le rechapage  
C;ACTIVITES DE FABRICATION ;C220101;Fabrication et rechapage de pneumatiques  ;C22010105;Pneumatiques rechapés  
C;ACTIVITES DE FABRICATION ;C220102;Fabrication d'autres ouvrages en caoutchouc ;C22010200;Autres ouvrages en caoutchouc  
C;ACTIVITES DE FABRICATION ;C220200;Travail du  plastique ;C22020001;Demi-produits, tuyaux et éléments pour la construction, en matières plastiques 
C;ACTIVITES DE FABRICATION ;C220200;Travail du  plastique ;C22020002;Emballages en matières plastiques 
C;ACTIVITES DE FABRICATION ;C220200;Travail du  plastique ;C22020003;Articles ménagers en matières plastiques 
C;ACTIVITES DE FABRICATION ;C220200;Travail du  plastique ;C22020004;Autres produits du travail du plastique  
C;ACTIVITES DE FABRICATION ;C220200;Travail du  plastique ;C22020005;Opérations sous-traitées intervenant dans le travail  du caoutchouc et du plastique 
C;ACTIVITES DE FABRICATION ;C230100;Fabrication de verre et d'articles en verre ;C23010001;Verre plat  
C;ACTIVITES DE FABRICATION ;C230100;Fabrication de verre et d'articles en verre ;C23010002;Verre creux  
C;ACTIVITES DE FABRICATION ;C230100;Fabrication de verre et d'articles en verre ;C23010003;"Fibres de verre ; articles techniques en verre  "
C;ACTIVITES DE FABRICATION ;C230201;Fabrication de carreaux en céramique ;C23020100;Carreaux en céramique  
C;ACTIVITES DE FABRICATION ;C230202;Fabrication de tuiles et briques  ;C23020200;Tuiles et briques en terre  
